antenna,channel,eventNum,format,idHex,peakRssi,phase,reads,timestamp,type,timestampConverted
1,865.7,1578,epc,e28011c1a50000703f052e88,-63,-55.79576873779297,1,2026-03-31T10:00:59.097000+00:00,CUSTOM,1774951259097
1,865.7,1579,epc,e28069950000500f97d2f250,-61,138.6736602783203,1,2026-03-31T10:00:59.117000+00:00,CUSTOM,1774951259117
1,865.7,1580,epc,e28011b0a5050077ab398229,-48,-65.89801025390625,1,2026-03-31T10:00:59.118000+00:00,CUSTOM,1774951259118
2,865.7,1581,epc,e28069950000400f97d6e252,-68,-69.80376434326172,1,2026-03-31T10:00:59.148000+00:00,CUSTOM,1774951259148
2,865.7,1582,epc,e2806890000000001829a9f8,-65,-147.7706298828125,1,2026-03-31T10:00:59.158000+00:00,CUSTOM,1774951259158
2,865.7,1583,epc,e28011b0a5050077ab398239,-64,-160.0701904296875,1,2026-03-31T10:00:59.158000+00:00,CUSTOM,1774951259158
2,865.7,1584,epc,e28069950000500f97d29e55,-72,-100.45655822753906,1,2026-03-31T10:00:59.168000+00:00,CUSTOM,1774951259168
2,865.7,1585,epc,303800000666e10000000055,-58,80.27405548095703,1,2026-03-31T10:00:59.169000+00:00,CUSTOM,1774951259169
2,865.7,1586,epc,e28069950000400f97d52e52,-66,-138.96481323242188,1,2026-03-31T10:00:59.178000+00:00,CUSTOM,1774951259178
2,865.7,1587,epc,e82011122223333444450011,-69,-108.6306381225586,1,2026-03-31T10:00:59.189000+00:00,CUSTOM,1774951259189
3,865.7,1588,epc,e28069950000500f97d76651,-57,-90.67293548583984,1,2026-03-31T10:00:59.219000+00:00,CUSTOM,1774951259219
1,865.7,1589,epc,e28011b0a5050077ab39a8a9,-37,54.03240966796875,1,2026-03-31T10:00:59.301000+00:00,CUSTOM,1774951259301
1,865.7,1590,epc,e28069950000400f97d3c652,-61,54.735557556152344,1,2026-03-31T10:00:59.302000+00:00,CUSTOM,1774951259302
1,865.7,1591,epc,e28069950000400f97d38650,-62,123.44065856933594,1,2026-03-31T10:00:59.311000+00:00,CUSTOM,1774951259311
1,865.7,1592,epc,e28011b0a5050077ab3982f9,-49,138.2836456298828,1,2026-03-31T10:00:59.321000+00:00,CUSTOM,1774951259321
1,865.7,1593,epc,e28069950000500f97d8aa52,-58,-17.935728073120117,1,2026-03-31T10:00:59.322000+00:00,CUSTOM,1774951259322
1,865.7,1594,epc,e28069950000500f97d3ae52,-57,150.7095489501953,1,2026-03-31T10:00:59.332000+00:00,CUSTOM,1774951259332
1,865.7,1595,epc,e28069950000500f97d83a52,-54,107.2408218383789,1,2026-03-31T10:00:59.342000+00:00,CUSTOM,1774951259342
1,865.7,1596,epc,e28069950000500f97d74a44,-58,-131.8509521484375,1,2026-03-31T10:00:59.352000+00:00,CUSTOM,1774951259352
1,865.7,1597,epc,e28011b0a5050077ab398239,-45,9.629810333251953,1,2026-03-31T10:00:59.362000+00:00,CUSTOM,1774951259362
1,865.7,1598,epc,e28069950000500f97d57a52,-61,174.16058349609375,1,2026-03-31T10:00:59.393000+00:00,CUSTOM,1774951259393
1,865.7,1599,epc,e28069950000500f97d2ca51,-57,-112.88247680664062,1,2026-03-31T10:00:59.394000+00:00,CUSTOM,1774951259394
1,865.7,1600,epc,e28011b0a5050077ab397ab9,-44,-76.58802795410156,1,2026-03-31T10:00:59.404000+00:00,CUSTOM,1774951259404
1,865.7,1601,epc,e28069950000400f97d37e52,-60,-15.260475158691406,1,2026-03-31T10:00:59.414000+00:00,CUSTOM,1774951259414
1,865.7,1602,epc,e28069950000400f97d57e51,-64,-33.58073806762695,1,2026-03-31T10:00:59.435000+00:00,CUSTOM,1774951259435
1,865.7,1603,epc,e28069950000400f97d30a51,-59,-158.7023468017578,1,2026-03-31T10:00:59.445000+00:00,CUSTOM,1774951259445
2,865.7,1604,epc,e28069950000400f97d6e252,-67,-79.3182144165039,1,2026-03-31T10:00:59.445000+00:00,CUSTOM,1774951259445
2,865.7,1605,epc,e2801191a5030069565f3110,-67,92.8263168334961,1,2026-03-31T10:00:59.466000+00:00,CUSTOM,1774951259466
2,865.7,1606,epc,e28011b0a5050077ab372d47,-67,-119.2382583618164,1,2026-03-31T10:00:59.476000+00:00,CUSTOM,1774951259476
2,865.7,1607,epc,e28011c1a5000062f794a5dc,-69,-85.70696258544922,1,2026-03-31T10:00:59.486000+00:00,CUSTOM,1774951259486
2,865.7,1608,epc,e28011c1a5000062f794a5ec,-67,113.98114013671875,1,2026-03-31T10:00:59.486000+00:00,CUSTOM,1774951259486
2,865.7,1609,epc,e28069950000400f97d52e52,-66,-142.6453399658203,1,2026-03-31T10:00:59.516000+00:00,CUSTOM,1774951259516
2,865.7,1610,epc,e28069950000400f97d3fa52,-67,-71.2814712524414,1,2026-03-31T10:00:59.516000+00:00,CUSTOM,1774951259516
2,865.7,1611,epc,e28069950000500f97d6fa53,-67,-150.91281127929688,1,2026-03-31T10:00:59.527000+00:00,CUSTOM,1774951259527
2,865.7,1612,epc,e28011b0a5050077ab3981a9,-71,-88.37122344970703,1,2026-03-31T10:00:59.537000+00:00,CUSTOM,1774951259537
2,865.7,1613,epc,e2801191a5030069565f3190,-66,23.874019622802734,1,2026-03-31T10:00:59.537000+00:00,CUSTOM,1774951259537
2,865.7,1614,epc,e28011b0a5050077ab398289,-65,164.17919921875,1,2026-03-31T10:00:59.547000+00:00,CUSTOM,1774951259547
2,865.7,1615,epc,e28069950000500f97d7a244,-65,-17.254554748535156,1,2026-03-31T10:00:59.567000+00:00,CUSTOM,1774951259567
2,865.7,1616,epc,e28011c1a5000062f7954d2c,-68,107.05404663085938,1,2026-03-31T10:00:59.567000+00:00,CUSTOM,1774951259567
2,865.7,1617,epc,303800000444a10000000008,-60,86.33319854736328,1,2026-03-31T10:00:59.577000+00:00,CUSTOM,1774951259577
2,865.7,1618,epc,e28011b0a5050077ab3a2d16,-62,-68.8204574584961,1,2026-03-31T10:00:59.588000+00:00,CUSTOM,1774951259588
3,865.7,1619,epc,e28011b0a5050077ab39ce69,-53,119.08993530273438,1,2026-03-31T10:00:59.608000+00:00,CUSTOM,1774951259608
3,865.7,1620,epc,e28069950000500f97d30251,-56,148.85281372070312,1,2026-03-31T10:00:59.608000+00:00,CUSTOM,1774951259608
3,865.7,1621,epc,e28069950000400f97d6b251,-57,105.49394226074219,1,2026-03-31T10:00:59.618000+00:00,CUSTOM,1774951259618
3,865.7,1622,epc,e28011b0a5050077ab39a8b9,-58,-140.228271484375,1,2026-03-31T10:00:59.628000+00:00,CUSTOM,1774951259628
3,865.7,1623,epc,e28069950000500f97d8b243,-62,87.83287811279297,1,2026-03-31T10:00:59.638000+00:00,CUSTOM,1774951259638
3,865.7,1624,epc,e28011b0a5050077ab398299,-30,133.19131469726562,1,2026-03-31T10:00:59.649000+00:00,CUSTOM,1774951259649
3,865.7,1625,epc,e28069950000500f97d32250,-62,-71.70446014404297,1,2026-03-31T10:00:59.649000+00:00,CUSTOM,1774951259649
3,865.7,1626,epc,e28011b0a5050077ab39ced9,-60,113.27249908447266,1,2026-03-31T10:00:59.659000+00:00,CUSTOM,1774951259659
3,865.7,1627,epc,e28069950000500f97d1de52,-59,-145.7325897216797,1,2026-03-31T10:00:59.659000+00:00,CUSTOM,1774951259659
3,865.7,1628,epc,e28069950000500f97d4de51,-57,131.04342651367188,1,2026-03-31T10:00:59.689000+00:00,CUSTOM,1774951259689
3,865.7,1629,epc,e28069950000400f97d67e52,-56,-114.06903076171875,1,2026-03-31T10:00:59.699000+00:00,CUSTOM,1774951259699
3,865.7,1630,epc,e28069950000500f97d23e50,-62,-107.3177261352539,1,2026-03-31T10:00:59.709000+00:00,CUSTOM,1774951259709
3,865.7,1631,epc,e28069950000400f97d54251,-57,-97.55607604980469,1,2026-03-31T10:00:59.720000+00:00,CUSTOM,1774951259720
3,865.7,1632,epc,303800000111c10000000012,-58,128.89553833007812,1,2026-03-31T10:00:59.720000+00:00,CUSTOM,1774951259720
3,865.7,1633,epc,e28069950000400f97d65a51,-62,104.59852600097656,1,2026-03-31T10:00:59.730000+00:00,CUSTOM,1774951259730
3,865.7,1634,epc,e28069950000400f97d2f644,-61,71.05624389648438,1,2026-03-31T10:00:59.730000+00:00,CUSTOM,1774951259730
3,865.7,1635,epc,e28011b0a5050077ab39a859,-45,20.358287811279297,1,2026-03-31T10:00:59.741000+00:00,CUSTOM,1774951259741
4,865.7,1636,epc,e28011b0a5050077ab3821cc,-59,-162.4433135986328,1,2026-03-31T10:00:59.834000+00:00,CUSTOM,1774951259834
4,865.7,1637,epc,303800000aaa900000000015,-58,-2.450026035308838,1,2026-03-31T10:00:59.875000+00:00,CUSTOM,1774951259875
1,865.7,1638,epc,e28069950000400f97d6ba55,-58,-132.48268127441406,1,2026-03-31T10:00:59.906000+00:00,CUSTOM,1774951259906
1,865.7,1639,epc,e28069950000400f97d38650,-64,101.26407623291016,1,2026-03-31T10:00:59.916000+00:00,CUSTOM,1774951259916
1,865.7,1640,epc,e28069950000500f97d6fa55,-57,39.55747985839844,1,2026-03-31T10:00:59.926000+00:00,CUSTOM,1774951259926
1,865.7,1641,epc,e28069950000500f97d6ae52,-58,158.15301513671875,1,2026-03-31T10:00:59.926000+00:00,CUSTOM,1774951259926
1,865.7,1642,epc,e28069950000500f97d83a52,-54,105.81255340576172,1,2026-03-31T10:00:59.936000+00:00,CUSTOM,1774951259936
2,865.7,1643,epc,e28069950000500f97d6ae52,-65,-162.03131103515625,1,2026-03-31T10:00:59.977000+00:00,CUSTOM,1774951259977
2,865.7,1644,epc,e28069950000500f97d8aa52,-72,43.44126892089844,1,2026-03-31T10:00:59.977000+00:00,CUSTOM,1774951259977
2,865.7,1645,epc,e28011c1a50000703f052e88,-69,-46.149478912353516,1,2026-03-31T10:00:59.997000+00:00,CUSTOM,1774951259997
2,865.7,1646,epc,e28069950000500f97d3ae52,-67,-158.99899291992188,1,2026-03-31T10:00:59.997000+00:00,CUSTOM,1774951259997
3,865.7,1647,epc,303800000aaa800000000001,-54,146.3039093017578,1,2026-03-31T10:01:00.027000+00:00,CUSTOM,1774951260027
3,865.7,1648,epc,e28069950000400f97d6b251,-56,130.3512725830078,1,2026-03-31T10:01:00.048000+00:00,CUSTOM,1774951260048
4,865.7,1649,epc,303800000aaa900000000015,-58,1.197546362876892,1,2026-03-31T10:01:00.089000+00:00,CUSTOM,1774951260089
4,865.7,1650,epc,e28011b0a5050077ab398299,-56,-7.476424217224121,1,2026-03-31T10:01:00.089000+00:00,CUSTOM,1774951260089
4,865.7,1651,epc,e28011b0a5050077ab397ab9,-61,-18.572954177856445,1,2026-03-31T10:01:00.099000+00:00,CUSTOM,1774951260099
4,865.7,1652,epc,e28069950000500f97d4de51,-59,20.731834411621094,1,2026-03-31T10:01:00.109000+00:00,CUSTOM,1774951260109
1,865.7,1653,epc,e28069950000500f97d29250,-60,-106.12567138671875,1,2026-03-31T10:01:00.120000+00:00,CUSTOM,1774951260120
1,865.7,1654,epc,e28069950000500f97d80e53,-62,79.89501953125,1,2026-03-31T10:01:00.181000+00:00,CUSTOM,1774951260181
1,865.7,1655,epc,e28069950000500f97d83a51,-61,82.12530517578125,1,2026-03-31T10:01:00.192000+00:00,CUSTOM,1774951260192
1,865.7,1656,epc,e28011c1a5000062f793cd5c,-67,-76.29688262939453,1,2026-03-31T10:01:00.192000+00:00,CUSTOM,1774951260192
1,865.7,1657,epc,e28069950000500f97d85e44,-58,-126.11590576171875,1,2026-03-31T10:01:00.201000+00:00,CUSTOM,1774951260201
1,865.7,1658,epc,e28069950000400f97d42253,-64,170.4306182861328,1,2026-03-31T10:01:00.212000+00:00,CUSTOM,1774951260212
1,865.7,1659,epc,e28011b0a5050077ab397ac9,-47,117.27713775634766,1,2026-03-31T10:01:00.222000+00:00,CUSTOM,1774951260222
1,865.7,1660,epc,e28069950000500f97d30e51,-60,163.75071716308594,1,2026-03-31T10:01:00.222000+00:00,CUSTOM,1774951260222
1,865.7,1661,epc,e28069950000400f97d83e52,-61,-113.15164947509766,1,2026-03-31T10:01:00.232000+00:00,CUSTOM,1774951260232
1,865.7,1662,epc,e28069950000400f97d69250,-60,-60.84414291381836,1,2026-03-31T10:01:00.242000+00:00,CUSTOM,1774951260242
1,865.7,1663,epc,e28011b0a5050077ab398229,-48,-45.259559631347656,1,2026-03-31T10:01:00.262000+00:00,CUSTOM,1774951260262
2,865.7,1664,epc,e28011c1a5000062f794a53c,-65,113.99761962890625,1,2026-03-31T10:01:00.273000+00:00,CUSTOM,1774951260273
2,865.7,1665,epc,e28011c1a5000062f794a52c,-67,-90.67842864990234,1,2026-03-31T10:01:00.283000+00:00,CUSTOM,1774951260283
2,865.7,1666,epc,e28069950000400f97d6b644,-73,66.65608978271484,1,2026-03-31T10:01:00.283000+00:00,CUSTOM,1774951260283
2,865.7,1667,epc,e28011b0a5050077ab39c776,-65,20.86367416381836,1,2026-03-31T10:01:00.293000+00:00,CUSTOM,1774951260293
2,865.7,1668,epc,e2801191a5030069565f31c0,-63,176.64906311035156,1,2026-03-31T10:01:00.303000+00:00,CUSTOM,1774951260303
2,865.7,1669,epc,e2801191a5030069565f76e0,-72,12.140262603759766,1,2026-03-31T10:01:00.313000+00:00,CUSTOM,1774951260313
2,865.7,1670,epc,303800000666e10000000055,-57,79.61485290527344,1,2026-03-31T10:01:00.324000+00:00,CUSTOM,1774951260324
2,865.7,1671,epc,303800000222a00000000015,-59,121.61686706542969,1,2026-03-31T10:01:00.324000+00:00,CUSTOM,1774951260324
2,865.7,1672,epc,e28011b0a5050077ab3981d9,-73,49.32462692260742,1,2026-03-31T10:01:00.334000+00:00,CUSTOM,1774951260334
2,865.7,1673,epc,ad721205147be5bc5f000020,-72,64.063232421875,1,2026-03-31T10:01:00.344000+00:00,CUSTOM,1774951260344
2,865.7,1674,epc,e28011b0a5050077ab391306,-71,55.48814392089844,1,2026-03-31T10:01:00.344000+00:00,CUSTOM,1774951260344
2,865.7,1675,epc,e28011b0a5050077ab3981b9,-71,98.39656066894531,1,2026-03-31T10:01:00.354000+00:00,CUSTOM,1774951260354
2,865.7,1676,epc,e28069950000500f97d29e55,-71,-104.7853012084961,1,2026-03-31T10:01:00.354000+00:00,CUSTOM,1774951260354
2,865.7,1677,epc,303800000666a0000000001a,-65,-100.7806625366211,1,2026-03-31T10:01:00.365000+00:00,CUSTOM,1774951260365
2,865.7,1678,epc,e28011b0a5050077ab38217c,-72,172.1610107421875,1,2026-03-31T10:01:00.365000+00:00,CUSTOM,1774951260365
2,865.7,1679,epc,e28011c1a5000062f793d1ec,-71,-81.94403076171875,1,2026-03-31T10:01:00.375000+00:00,CUSTOM,1774951260375
2,865.7,1680,epc,e28011c1a50000703f0412d8,-72,-127.50572204589844,1,2026-03-31T10:01:00.385000+00:00,CUSTOM,1774951260385
2,865.7,1681,epc,e28069950000400f97d2aa53,-71,166.10736083984375,1,2026-03-31T10:01:00.385000+00:00,CUSTOM,1774951260385
2,865.7,1682,epc,e2801191a5030069565f3180,-73,57.68547439575195,1,2026-03-31T10:01:00.395000+00:00,CUSTOM,1774951260395
2,865.7,1683,epc,e82011122223333444450011,-68,-110.28961944580078,1,2026-03-31T10:01:00.395000+00:00,CUSTOM,1774951260395
2,865.7,1684,epc,e28011c1a5000062f79421bc,-71,86.06951904296875,1,2026-03-31T10:01:00.405000+00:00,CUSTOM,1774951260405
2,865.7,1685,epc,e28011b0a5050077ab3913b4,-70,50.58809280395508,1,2026-03-31T10:01:00.415000+00:00,CUSTOM,1774951260415
3,865.7,1686,epc,e28069950000500f97d78e54,-62,92.7439193725586,1,2026-03-31T10:01:00.425000+00:00,CUSTOM,1774951260425
3,865.7,1687,epc,303800000222a0000000001a,-56,-104.7358627319336,1,2026-03-31T10:01:00.446000+00:00,CUSTOM,1774951260446
3,865.7,1688,epc,303800000222a00000000023,-53,166.99728393554688,1,2026-03-31T10:01:00.466000+00:00,CUSTOM,1774951260466
3,865.7,1689,epc,e28011c1a5000062f793c97c,-61,119.69969940185547,1,2026-03-31T10:01:00.507000+00:00,CUSTOM,1774951260507
3,865.7,1690,epc,303800000aaa900000000019,-57,94.91378784179688,1,2026-03-31T10:01:00.548000+00:00,CUSTOM,1774951260548
3,865.7,1691,epc,e28011b0a5050077ab39ce09,-50,112.99234008789062,1,2026-03-31T10:01:00.558000+00:00,CUSTOM,1774951260558
4,865.7,1692,epc,e28011b0a5050077ab397ab9,-58,-24.66506004333496,1,2026-03-31T10:01:00.620000+00:00,CUSTOM,1774951260620
4,865.7,1693,epc,e28011b0a5050077ab3821dc,-58,175.70420837402344,1,2026-03-31T10:01:00.640000+00:00,CUSTOM,1774951260640
4,865.7,1694,epc,303800000444a10000000016,-62,-142.13995361328125,1,2026-03-31T10:01:00.650000+00:00,CUSTOM,1774951260650
4,865.7,1695,epc,e28069950000400f97d63a43,-62,-6.591998100280762,1,2026-03-31T10:01:00.660000+00:00,CUSTOM,1774951260660
1,865.7,1696,epc,e28011c1a50000703efcc6ec,-62,-55.9715576171875,1,2026-03-31T10:01:00.732000+00:00,CUSTOM,1774951260732
1,865.7,1697,epc,e28069950000500f97d54651,-59,-137.6903533935547,1,2026-03-31T10:01:00.732000+00:00,CUSTOM,1774951260732
1,865.7,1698,epc,e28069950000500f97d3ee53,-60,107.1474380493164,1,2026-03-31T10:01:00.742000+00:00,CUSTOM,1774951260742
1,865.7,1699,epc,e28069950000500f97d85e44,-58,-129.4833221435547,1,2026-03-31T10:01:00.753000+00:00,CUSTOM,1774951260753
1,865.7,1700,epc,e28069950000400f97d7aa44,-61,-109.55900573730469,1,2026-03-31T10:01:00.763000+00:00,CUSTOM,1774951260763
